time,name,location,salinity_raw_ppm,salinity_factor,salinity_ppm,comment,sal,salinity_g.l-1,density_kg.m-3
2023-03-08,RD1-300,F300,,,1700.0,,1700.0,4.321605174823411,1003.0868608391596
2023-03-08,ditchRD,ditchF,,,190.0,,190.0,0.48300293130379296,1000.3450020937885
2023-03-08,ditchCD,ditchA,,,360.0,,360.0,0.9151634487861341,1000.6536881777043
2023-03-08,S5,S5,,,280.0,,280.0,0.7117937935003266,1000.5084241382145
2023-04-12,CD1-150,A150,,,65.0,,65.0,0.16523784491971866,1000.1180270320855
2023-04-12,CD1-200,A200,,,78.0,,78.0,0.1982854139036624,1000.1416324385026
2023-04-12,CD1-300,A300,,,2100.0,,2100.0,5.338453451252448,1003.8131810366089
2023-04-12,CD2-150,B150,,,62.0,,62.0,0.15761148284650087,1000.1125796306046
2023-04-12,CD2-200,B200,,,2200.0,,2200.0,5.592665520359708,1003.9947610859713
2023-04-12,CD2-300,B300,,,2600.0,,2600.0,6.609513796788746,1004.7210812834205
2023-04-12,CD3-150,C150,,,30.0,,30.0,0.07626362073217784,1000.0544740148086
2023-04-12,CD3-200,C200,,,2000.0,,2000.0,5.084241382145189,1003.6316009872465
2023-04-12,CD3-300,C300,,,540.0,,540.0,1.372745173179201,1000.9805322665566
2023-04-12,RD3-300,D150,,,50.0,,50.0,0.12710603455362973,1000.0907900246812
2023-04-12,RD3-200,D200,,,180.0,,180.0,0.45758172439306705,1000.3268440888522
2023-04-12,RD3-150,D300,,,1300.0,,1300.0,3.304756898394373,1002.3605406417103
2023-04-12,RD2-150,E150,,,50.0,,50.0,0.12710603455362973,1000.0907900246812
2023-04-12,RD2-200,E200,,,130.0,,130.0,0.3304756898394373,1000.2360540641711
2023-04-12,RD2-300,E300,,,730.0,,730.0,1.8557481044829942,1001.325534360345
2023-04-12,RD1-150,F150,,,330.0,,330.0,0.8388998280539562,1000.5992141628957
2023-04-12,RD1-200,F200,,,1400.0,,1400.0,3.5589689675016323,1002.5421206910726
2023-04-12,RD1-300,F300,,,1700.0,,1700.0,4.321605174823411,1003.0868608391596
2023-04-12,ditchRD,ditchF,,,330.0,,330.0,0.8388998280539562,1000.5992141628957
2023-04-12,ditchCD,ditchA,,,1100.0,,1100.0,2.796332760179854,1001.9973805429856
2023-05-12,CD1-150,A150,,,80.0,,80.0,0.20336965528580758,1000.1452640394899
2023-05-12,CD1-200,A200,,,90.0,,90.0,0.22879086219653352,1000.163422044426
2023-05-12,CD1-300,A300,,,180.0,,180.0,0.45758172439306705,1000.3268440888522
2023-05-12,CD2-150,B150,,,140.0,,140.0,0.3558968967501633,1000.2542120691072
2023-05-12,CD2-200,B200,,,2100.0,,2100.0,5.338453451252448,1003.8131810366089
2023-05-12,CD2-300,B300,,,2600.0,,2600.0,6.609513796788746,1004.7210812834205
2023-05-12,CD3-150,C150,,,81.0,,81.0,0.20591177597688018,1000.1470798399835
2023-05-12,CD3-200,C200,,,2200.0,,2200.0,5.592665520359708,1003.9947610859713
2023-05-12,CD3-300,C300,,,510.0,,510.0,1.2964815524470232,1000.9260582517479
2023-05-12,RD3-300,D150,,,50.0,,50.0,0.12710603455362973,1000.0907900246812
2023-05-12,RD3-200,D200,,,120.0,,120.0,0.30505448292871135,1000.2178960592348
2023-05-12,RD3-150,D300,,,1000.0,,1000.0,2.5421206910725944,1001.8158004936233
2023-05-12,RD2-150,E150,,,55.0,,55.0,0.13981663800899272,1000.0998690271492
2023-05-12,RD2-200,E200,,,160.0,,160.0,0.40673931057161516,1000.2905280789797
